AWS Glossary and Model Dictionary,,AWS glossary - AWS General Reference (amazon.com),,,
,,,,,
Acronym,Appointment,Description,Source,Model Element,Notes
EC2,Elastic Compute 2,A compute instance in the Amazon EC2 service. Other AWS services use the term EC2 instance to distinguish these instances from other types of instances they support.,AWS,Block - ec2 : Virtual Private Server,
 ,DynamoDB,"Amazon DynamoDB is a fully managed, serverless, key-value NoSQL database designed to run high-performance applications at any scale. DynamoDB offers built-in security, continuous backups, automated multi-Region replication, in-memory caching, and data import and export tools.",AWS: https://aws.amazon.com/dynamodb/?trk=94bf4df1-96e1-4046-a020-b07a2be0d712&sc_channel=ps&s_kwcid=AL!4422!3!610000101513!e!!g!!dynamo%20database&ef_id=Cj0KCQjw166aBhDEARIsAMEyZh6iVb7N95D218IhcOJtziku5Qq_gvW2viT_WYCHFiAdhuS3GfdEMnwaAqz7EALw_wcB:G:s&s_kwcid=AL!4422!3!610000101513!e!!g!!dynamo%20database,Block - dynDB : NoSQL database,
,AWS Lambda,A web service that you can use to run code without provisioning or managing servers. You can run code for virtually any type of application or backend service with zero administration. You can set up your code to automatically start from other AWS services or call it directly from any web or mobile app.,AWS,Block - lambda : Operator,
,API Gateway,"A fully managed service that developers can use to create, publish, maintain, monitor, and secure APIs at any scale.",AWS: https://aws.amazon.com/api-gateway/,Block - api : API Gateway,
S3,Simple Storage Service,"Amazon Simple Storage Service (Amazon S3) is an object storage service that offers industry-leading scalability, data availability, security, and performance.",AWS: https://docs.aws.amazon.com/AmazonS3/latest/userguide/Welcome.html,Block -s3 : S3,
EBS,Elastic Block Store,"Amazon Elastic Block Store (Amazon EBS) provides block level storage volumes for use with EC2 instances. EBS volumes behave like raw, unformatted block devices. You can mount these volumes as devices on your instances. EBS volumes that are attached to an instance are exposed as storage volumes that persist independently from the life of the instance. ",AWS: https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/AmazonEBS.html,Block volume : Storage,
ELB,Elastic Load Balancing,Elastic Load Balancing (ELB) automatically distributes incoming application traffic across multiple targets and virtual appliances in one or more Availability Zones (AZs).,AWS: https://aws.amazon.com/elasticloadbalancing/,Block elb : Router,
ECS,Elastic Container Service,"Amazon ECS is a fully managed container orchestration service that helps you easily deploy, manage, and scale containerized applications. It deeply integrates with the rest of the AWS platform to provide a secure and easy-to-use solution for running container workloads in the cloud and now on your infrastructure with Amazon ECS Anywhere.",AWS: https://aws.amazon.com/pm/ecs/?trk=65b3aebb-5f34-47a9-85a4-c95ef4d9629b&sc_channel=ps&s_kwcid=AL!4422!3!547620651283!e!!g!!ecs%20container&ef_id=Cj0KCQjw166aBhDEARIsAMEyZh5SseITNueXYeYFu328mgHIXmAaIqXgJPUfg9GN_VRydrrv0_y-6uoaAhG6EALw_wcB:G:s&s_kwcid=AL!4422!3!547620651283!e!!g!!ecs%20container,Block ecs : Cluster,
,AWS Region,"AWS has the concept of a Region, which is a physical location around the world where we cluster data centers. We call each group of logical data centers an Availability Zone.",AWS: https://aws.amazon.com/about-aws/global-infrastructure/regions_az/,Block: AWS Region,
,AWZ Zone,"Availability Zones are distinct locations within an AWS Region that are engineered to be isolated from failures in other Availability Zones. They provide inexpensive, low-latency network connectivity to other Availability Zones in the same AWS Region.",AWS: https://docs.aws.amazon.com/AmazonElastiCache/latest/mem-ug/RegionsAndAZs.html,Block: AWS Zone,
,Security Group,"A security group acts as a virtual firewall for your EC2 instances to control incoming and outgoing traffic. Inbound rules control the incoming traffic to your instance, and outbound rules control the outgoing traffic from your instance. When you launch an instance, you can specify one or more security groups.",AWS: Security Group,Port -<<full>> sc : Virtual Firewall,Operations : Inbound Rules
EC2 IP,Elastic Compute 2 Internet Protocol,"Amazon EC2 and Amazon VPC support both the IPv4 and IPv6 addressing protocols. By default, Amazon VPC uses the IPv4 addressing protocol; you can't disable this behavior. When you create a VPC, you must specify an IPv4 CIDR block (a range of private IPv4 addresses). You can optionally assign an IPv6 CIDR block to your VPC and assign IPv6 addresses from that block to instances in your subnets.",AWS: https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-instance-addressing.html,,
,Elastic IP,"An Elastic IP address is a static public IPv4 address associated with your AWS account in a specific Region. Unlike an auto-assigned public IP address, an Elastic IP address is preserved after you stop and start your instance in a virtual private cloud (VPC).","AWS: https://aws.amazon.com/premiumsupport/knowledge-center/ec2-associate-static-public-ip/#:~:text=An%20Elastic%20IP%20address%20is,virtual%20private%20cloud%20(VPC).",,
AMI,Amazon Machine Image,An Amazon Machine Image (AMI) is a supported and maintained image provided by AWS that provides the information required to launch an instance. You must specify an AMI when you launch an instance. You can launch multiple instances from a single AMI when you require multiple instances with the same configuration,AWS: https://docs.aws.amazon.com/AWSEC2/latest/WindowsGuide/AMIs.html,,
,Key Pairs,"To enable your end users to launch the product that is based on the sample template for this tutorial, you must create an Amazon EC2 key pair. A key pair is a combination of a public key that is used to encrypt data and a private key that is used to decrypt data. For more information about key pairs, see Amazon EC2 Key Pairs in the Amazon EC2 User Guide for Linux Instances",AWS: https://docs.aws.amazon.com/servicecatalog/latest/adminguide/getstarted-keypair.html,,
HTTP,,,,,
HTTPS,,,,,
TCP,,,,,
TLS,,,,,
UDP,,,,,
,Listener - Load Balancer,"A listener is a process that checks for connection requests. It is configured with a protocol and a port for front-end (client to load balancer) connections, and a protocol and a port for back-end (load balancer to back-end instance) connections.",AWS: https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/elb-listener-config.html,,
,Target Group - Load Balancer,"A target group tells a load balancer where to direct traffic to : EC2 instances, fixed IP addresses; or AWS Lambda functions, amongst others. When creating a load balancer, you create one or more listeners and configure listener rules to direct the traffic to one target group.","AWS: https://aws.amazon.com/blogs/aws/new-application-load-balancer-simplifies-deployment-with-weighted-target-groups/#:~:text=A%20target%20group%20tells%20a,traffic%20to%20one%20target%20group.",,
,Rule - Load Balancer,Rules give your devices the ability to interact with AWS services. Rules are analyzed and actions are performed based on the MQTT topic stream.,AWS: https://docs.aws.amazon.com/iot/latest/developerguide/iot-rules.html,,
